minute_id,id,text,sentence,word_count,is_valid,confidence_score
h-tk-20192020-41-10,1,VAO Woningcorporaties / Evaluatie van de Woningwet en het Huurakkoord (AO d.d. 12/12),Aan de orde is het VAO Woningcorporaties / Evaluatie van de Woningwet en het Huurakkoord (AO d.d. 12/12).,16,True,95
h-tk-20192020-41-10,2,VAO Woningcorporaties / Evaluatie van de Woningwet en het Huurakkoord,Aan de orde is het VAO Woningcorporaties / Evaluatie van de Woningwet en het Huurakkoord.,10,True,85
h-tk-20192020-41-10,3,de volgende motie,Daarom de volgende motie.,3,True,85
h-tk-20192020-41-10,4,de motie Beckerman c.s.,"constaterende dat naar aanleiding van de motie Beckerman c.s. er een landelijke, integrale aanpak voor problemen met schimmel en vocht moet komen, maar dat de regering in het bijzonder focust op de grote gemeenten (G40);",5,True,90
h-tk-20192020-41-10,5,"29453, nr. 497",Zij krijgt nr. 497 (29453).,5,True,100
h-tk-20192020-41-10,6,de volgende motie,Daarom de volgende motie.,3,True,85
h-tk-20192020-41-10,7,"29453, nr. 498",Zij krijgt nr. 498 (29453).,5,True,100
h-tk-20192020-41-10,8,Mijn derde motie,Mijn derde motie.,3,True,85
h-tk-20192020-41-10,9,"29453, nr. 499",Zij krijgt nr. 499 (29453).,5,True,100
h-tk-20192020-41-10,10,mijn laatste motie,En mijn laatste motie.,3,True,85
h-tk-20192020-41-10,11,"29453, nr. 500",Zij krijgt nr. 500 (29453).,5,True,100
h-tk-20192020-41-10,12,een motie,Eerder hebben wij samen met het CDA een motie ingediend over de gelden die corporaties op de plank hebben liggen om middenhuurwoningen te realiseren.,2,True,75
h-tk-20192020-41-10,13,de volgende motie,Daarom de volgende motie.,3,True,85
h-tk-20192020-41-10,14,het regeerakkoord,constaterende dat het regeerakkoord prioriteit geeft aan middenhuurwoningen in de vrije sector;,2,True,90
h-tk-20192020-41-10,15,de motie-Ronnes/Koerhuis,"overwegende dat de motie-Ronnes/Koerhuis heeft verzocht om met de corporatiesector afspraken te maken om in gebieden waar daar behoefte aan is, beschikbare middelen in de niet-DAEB-takken expliciet in te zetten voor meer middenhuurwoningen in de vrije sector;",2,True,90
h-tk-20192020-41-10,16,de Staat van de Volkshuisvesting 2018,"overwegende dat in de Staat van de Volkshuisvesting 2018 de indicatieve bestedingsruimte woningcorporaties (IBW) voor de niet-DAEB-takken van corporaties is gepubliceerd, waaruit blijkt dat er 4 miljard in het niet-DAEB-deel beschikbaar is;",6,True,95
h-tk-20192020-41-10,17,"29453, nr. 501",Zij krijgt nr. 501 (29453).,5,True,100
h-tk-20192020-41-10,18,de volgende motie,Ook hebben wij de volgende motie.,3,True,85
h-tk-20192020-41-10,19,de Woningwet,constaterende dat: -de voorgenomen aanpassingen op de Woningwet een aanscherping van de verkoopregels bevatten waarbij door woningcorporaties ook voor niet-DAEB-woningen een proces met aanbieding aan de huurder doorlopen moet worden;,2,True,95
